frame.number,frame.time_relative,ip.src,ip.dst,tcp.len,tcp.payload
110,27.611820900,192.168.95.42,192.168.95.41,7,00100003313031
112,27.612870300,192.168.95.41,192.168.95.42,184,001000b43130320a31392e30332e323032365f31313a31313a30320a3130303930353035310a4d5243446574656374696f6e43616c6357656c6c436f6f7264696e617465733a3a4f6e416e737765723a20436f7665724d61726b65722063616c6320636f6f7264696e617465733a2020305f583a203135312c20305f593a203936362020315f583a20313230302c20315f593a2035332020325f583a20302c20325f593a20302020335f583a20302c20335f593a2030200a
113,27.612907100,192.168.95.42,192.168.95.41,7,00100003313032
115,27.613769900,192.168.95.41,192.168.95.42,106,001000663130330a31392e30332e323032365f31313a31313a30320a3130303930353035320a4d5243446574656374696f6e43616c6357656c6c436f6f7264696e617465733a3a4f6e416e737765723a204e756d626572206f6620697465726174696f6e733a2031200a
116,27.613802500,192.168.95.42,192.168.95.41,7,00100003313033
118,27.614864600,192.168.95.41,192.168.95.42,107,000e00673130340a31392e30332e323032365f31313a31313a30320a39300a31310a2038360a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742e2057656c6c436f6f7264696e617465732063616c63756c6174696f6e20646f6e652e0a0a
119,27.614931300,192.168.95.42,192.168.95.41,7,000e0003313034
121,27.616035800,192.168.95.41,192.168.95.42,98,000e005e3130350a31392e30332e323032365f31313a31313a30320a39300a31310a2038370a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742e20486f74506978656c2073656172636820737461727465642e0a0a
122,27.616092500,192.168.95.42,192.168.95.41,7,000e0003313035
124,28.037041400,192.168.95.42,192.168.95.41,6,000000026869
126,28.037712100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
128,29.038348200,192.168.95.42,192.168.95.41,6,000000026869
129,29.039026700,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
131,30.039672200,192.168.95.42,192.168.95.41,6,000000026869
132,30.040324700,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
136,31.041003100,192.168.95.42,192.168.95.41,6,000000026869
137,31.041589900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
139,32.042313900,192.168.95.42,192.168.95.41,6,000000026869
140,32.042962500,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
142,33.043638900,192.168.95.42,192.168.95.41,6,000000026869
143,33.044291900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
145,34.044961000,192.168.95.42,192.168.95.41,6,000000026869
146,34.045611800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
150,35.046304800,192.168.95.42,192.168.95.41,6,000000026869
151,35.046951000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
154,36.047618800,192.168.95.42,192.168.95.41,6,000000026869
155,36.048207900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
157,37.048945000,192.168.95.42,192.168.95.41,6,000000026869
158,37.049603200,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
160,38.050255600,192.168.95.42,192.168.95.41,6,000000026869
161,38.050907000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
163,39.051577400,192.168.95.42,192.168.95.41,6,000000026869
164,39.052232500,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
